"CoefAge","Deaths","BaselineDeaths","MeanRR","MeanPAF","MeanAbsoluteRisk"
"0-25",37.6372372715481,212.08384066416,1.26603514791669,0.109373577894414,6.97526141839306e-05
"25-30",9.75316688282691,50.1940217534234,1.2988248387101,0.119751778713013,7.670461806024e-05
"30-35",12.4433038092104,64.3229778668788,1.29711186112475,0.119222600814861,9.21404387168656e-05
"35-40",21.5570755780556,111.86983056146,1.29561485979689,0.118758996813731,0.000127845539274568
"40-45",35.9993431151905,188.078650174167,1.29305259178649,0.11796300027917,0.00020203929465386
"45-50",54.2239268213861,287.511266078258,1.28751838793725,0.116232924844292,0.000341059051773158
"50-55",68.5981153115947,370.768661149129,1.28052831626179,0.114026344506149,0.000514867420592184
"55-60",91.8031263473681,507.264075393397,1.27273609918487,0.111537970254163,0.000792186891129786
"60-65",135.064458966348,765.356644213333,1.26415687255229,0.108762780669882,0.00113980358460413
"65-70",239.876846556514,1400.56524081153,1.25439329761073,0.105558283522187,0.00170744138606847
"70-75",310.970432504193,1883.14293007696,1.24306358557167,0.101776647604764,0.00253234627399153
"75-80",333.647215417102,2115.77844955315,1.22960297723782,0.0971931503052603,0.00407091729027268
"80+",848.311261426938,5855.07669862534,1.20709356597523,0.0892999563436275,0.0091702292545154
