"RasterAgeGroup","CoefAge","Deaths","BaselineDeaths","MeanRR","MeanPAF","MeanAbsoluteRisk"
"0-9","0-25",1.75327232119607,9.87959675149672,1.26603514791669,0.109373577894414,6.97526141839306e-05
"1-10","0-25",6.92157351860904,39.0027005519735,1.26603514791669,0.109373577894414,6.97526141839306e-05
"5-14","0-25",9.41487983702774,53.0523497415905,1.26603514791669,0.109373577894414,6.97526141839306e-05
"10-19","0-25",10.0957767848139,56.8891680409486,1.26603514791669,0.109373577894414,6.97526141839306e-05
"15-24","0-25",9.45173480990135,53.2600255781505,1.26603514791669,0.109373577894414,6.97526141839306e-05
"20-29","25-30",9.75316688282691,50.1940217534234,1.2988248387101,0.119751778713013,7.670461806024e-05
"25-34","30-35",12.4433038092104,64.3229778668788,1.29711186112475,0.119222600814861,9.21404387168656e-05
"30-39","35-40",21.5570755780556,111.86983056146,1.29561485979689,0.118758996813731,0.000127845539274568
"35-44","40-45",35.9993431151905,188.078650174167,1.29305259178649,0.11796300027917,0.00020203929465386
"40-49","45-50",54.2239268213861,287.511266078258,1.28751838793725,0.116232924844292,0.000341059051773158
"45-54","50-55",68.5981153115947,370.768661149129,1.28052831626179,0.114026344506149,0.000514867420592184
"50-59","55-60",91.8031263473681,507.264075393397,1.27273609918487,0.111537970254163,0.000792186891129786
"55-64","60-65",135.064458966348,765.356644213333,1.26415687255229,0.108762780669882,0.00113980358460413
"60-69","65-70",239.876846556514,1400.56524081153,1.25439329761073,0.105558283522187,0.00170744138606847
"65-74","70-75",310.970432504193,1883.14293007696,1.24306358557167,0.101776647604764,0.00253234627399153
"70-79","75-80",333.647215417102,2115.77844955315,1.22960297723782,0.0971931503052603,0.00407091729027268
"75-84","80+",411.631331788094,2841.09515739483,1.20709356597523,0.0892999563436275,0.0091702292545154
"80-89","80+",206.044509068467,1422.12706369095,1.20709356597523,0.0892999563436275,0.0091702292545154
"85-94","80+",174.823663079712,1206.63959688773,1.20709356597523,0.0892999563436275,0.0091702292545154
"90-99","80+",55.8117574906649,385.214880651826,1.20709356597523,0.0892999563436275,0.0091702292545154
